"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"Total"
"410800 Florestópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47,27;2438,64;5389,56;5434,86;6535,41;4610,69;3538,74;3850,34;2349,07;4945,52;179,93;646,19;1769,04;8943,20;2876,61;2031,29;2548,96;6844,92;5397,84;7208,98;3089,43;260,78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2287,54;1468,66;4496,64;2621,31;6299,28;9865,25;4191,82;10679,56;7001,44;7900,21;2215,13;13476,77;8086,58;8554,12;13101,28;7735,20;11594,15;12380,82;15161,33;6909,84;10214,53;10453,42;8915,99;7332,98;10260,80;6434,25;12011,62;7274,12;10952,56;10383,37;11457,42;10688,12;10902,52;3548,06;7924,91;10615,32;8989,66;14395,98;5928,51;3509,06;2371,71;12771,38;6746,86;2803,93;3481,56;2787,81;7179,89;1850,29;3569,12;1655,68;2100,02;3266,89;4580,93;2338,26;2873,90;2106,59;1045,77;2911,76;1824,31;-;-;-;292,62;4588,97;10460,00;8270,92;5279,50;3252,26;1986,32;2268,88;2210,42;3981,77;4369,06;6317,90;4100,62;3635,07;5961,06;5030,97;6728,06;5320,47;3095,11;4219,49;9777,20;8215,62;4006,48;4475,10;3662,63;3155,19;2283,01;614368,76
"410820 Formosa do Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1373,87;10504,56;31911,95;25661,77;31522,33;28389,82;25512,64;29398,03;34527,39;30282,20;29837,72;23247,69;30754,07;39247,85;34437,21;22381,64;26103,84;25961,85;12935,09;13913,99;18581,30;20187,85;19026,91;16547,30;24770,81;19704,79;18245,46;19006,01;19961,80;19336,16;16051,66;23930,44;24002,92;19231,36;15350,70;17159,84;13181,15;10937,12;21760,26;30667,05;30754,03;30238,44;26270,65;16559,96;23612,53;17727,04;20117,72;30019,44;20100,50;19976,05;13840,93;14586,41;18015,57;19984,08;18751,42;28163,47;24189,53;24987,33;23571,86;29025,36;25512,91;30101,59;22469,61;26682,55;33623,70;29793,28;24318,65;-;-;-;-;-;-;-;-;-;30231,39;21732,36;28175,91;23692,39;24615,68;25706,66;27852,66;37512,67;24068,20;33800,22;28038,48;22842,14;27538,60;29209,68;38140,06;26309,29;32792,43;29578,77;27380,93;31381,80;28553,26;34241,98;30406,87;32766,78;29782,53;31700,96;34212,23;32898,08;35189,25;33337,72;30786,52;31674,07;33770,75;20539,64;33674,91;29422,23;28452,18;26221,03;24369,19;20157,70;21957,97;-;-;-;-;3836,67;16577,59;21197,57;31487,28;575,52;-;-;2806931,81
"410830 Foz do Iguaçu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32641,78;3586,87;143442,79;406999,07;804934,52;1235130,76;1274576,10;1217504,50;1416748,66;1215706,50;1371022,60;1262758,20;1385426,52;1508128,77;1471102,81;1381315,73;1545633,79;1440307,82;1674468,55;1452398,26;1636953,99;1421351,76;1716834,71;1464802,26;1567724,72;1654741,12;1507246,37;1592253,92;1637982,02;1489012,40;1643427,15;1760837,54;1776559,80;1754776,78;1909856,82;1689819,86;1744261,71;1678903,09;1511010,25;1519829,30;1348676,54;1339493,25;1432518,36;1462317,02;1669897,82;1572906,64;1769781,18;1738379,12;1670918,42;1759810,84;1617464,38;1830253,35;1915524,68;1388540,54;1651882,80;1717690,95;1723477,63;1703754,78;1956159,05;1741313,76;1958463,42;2005031,58;1721467,35;1867037,66;1527775,86;808812,64;731443,15;1524895,16;1854176,65;1742994,69;1790616,35;1971184,05;1936725,97;1789045,67;1819124,71;1905603,53;1816061,54;1687368,52;1908283,99;1891183,28;2237919,83;1946264,23;2024188,21;1914590,53;1839031,17;1818279,86;1607054,88;1256642,32;1277122,86;1760671,32;1946475,77;1733963,45;2072397,69;1997336,59;2260053,85;2073325,83;2195748,37;2248040,95;2117262,95;1796928,45;1525123,03;2058605,21;2065828,33;2040019,40;2311648,20;2358067,77;2420478,69;2446819,79;2373725,92;2384217,27;2275498,06;2578033,42;2496133,41;2216788,27;2261487,04;2308441,29;2440390,02;2439479,71;2297056,09;2232479,77;2668026,92;2663511,33;2366555,39;2741215,19;2463407,95;2250526,24;2572990,99;2421195,43;1662590,21;49196,98;18088,17;8949,00;227729950,65
"410832 Francisco Alves";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2121,02;2353,06;5181,95;6108,72;8423,90;5593,12;5369,04;3880,87;3390,61;4106,53;6905,67;3045,46;3365,96;3980,92;5569,92;3878,19;4998,32;5429,62;5325,17;4258,17;4338,32;6053,91;6394,56;5161,27;6949,18;963,02;4805,75;1607,00;6612,74;3909,49;1762,47;5050,84;2962,42;2566,56;-;-;2123,28;1105,37;1761,38;1643,56;668,86;1597,40;1383,05;-;1460,35;479,19;655,16;991,22;219,33;854,30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;167366,20
"410840 Francisco Beltrão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30134,95;225513,76;723485,64;656307,60;712398,56;539957,95;523976,37;527052,93;554935,85;626893,36;575348,63;664175,53;683343,54;719714,25;790533,50;818869,17;877522,86;781410,07;860186,94;931972,94;848473,45;985187,76;962906,58;1014974,19;943492,57;862264,01;1049681,90;807988,69;1024209,58;831657,67;998246,76;862484,95;983694,85;1079890,50;1021830,12;1081685,27;1093210,85;1076657,15;1202303,71;1025334,09;1322653,80;1515514,84;1201568,10;1278171,33;1388796,96;1261303,23;1294605,50;1348981,23;1334445,34;1178069,17;1279823,38;1073835,85;1310328,81;1255470,26;1421015,89;1382073,96;1424526,59;1453802,12;1439475,13;1448655,48;1409373,41;1210297,28;1355026,73;1298193,56;1415867,10;1485161,68;1644195,71;1536130,98;1533789,95;1599043,22;1512724,66;1654028,30;1470223,63;1416130,63;1547728,35;1491472,23;1681427,55;1561508,07;1767916,29;1555783,31;1538109,08;1529163,10;1509643,55;1482237,74;1489372,23;1440372,02;1587133,05;1611823,40;1594110,42;1533391,10;1678849,08;1628170,20;1503283,34;1529894,82;1406679,14;1517070,12;1385095,96;1418019,38;1532537,98;1352267,46;1568250,03;1650403,29;1739426,18;1671457,47;1682782,94;1787519,45;1575659,09;1799916,78;1513939,83;1512516,42;1664320,33;1588129,04;1656663,64;1548319,12;1616226,29;1585464,83;1655036,94;1603134,48;1625561,50;1544758,71;1596011,45;1580785,00;1669911,66;1649884,61;1514874,26;1498748,57;1529006,10;837218,52;164072198,36
"410850 General Carneiro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;938,61;8224,71;17998,49;18821,74;22873,27;24351,77;19684,78;21149,16;24767,96;19475,32;20509,83;27818,89;27688,67;31134,79;28355,43;16139,10;29210,87;18069,02;24160,64;16586,82;30903,36;22124,44;19589,81;20200,67;15761,80;19318,25;10473,13;14079,29;12771,25;21520,44;16743,82;24055,47;21035,91;11353,54;16352,97;12231,95;16712,32;12916,11;8919,82;12501,92;10026,78;15887,38;26473,16;28707,53;28075,94;32475,90;34298,58;25797,83;37139,42;25896,13;25638,03;17981,24;21424,05;31307,38;20000,58;22235,62;21523,28;30854,88;36769,67;25281,68;31647,94;22439,39;18941,22;17347,59;17523,85;23758,20;27278,32;18217,24;20435,36;23608,97;31662,26;27077,82;31653,97;30632,26;36148,41;21638,47;20807,50;19946,30;15241,17;16863,23;31229,69;25961,50;31365,24;24853,60;22467,04;15509,75;17227,38;17128,74;20017,12;22224,99;22251,33;27494,30;28058,92;18947,08;3196,95;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2076124,30
"410855 Godoy Moreira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;701,66;3212,63;2517,46;7587,59;2683,21;4606,58;2834,96;3838,36;3088,05;5537,06;4959,60;2318,06;3769,34;5701,93;6225,52;4570,49;3938,41;3898,48;3768,15;1301,83;4291,54;5731,73;3151,57;3743,25;5290,85;3387,35;3577,10;6865,65;2513,25;4153,63;7408,71;2957,01;6301,26;4949,08;4268,15;4402,69;4811,50;3951,32;1640,93;4014,02;3795,32;6086,63;5267,25;6143,89;8499,89;5032,92;4179,66;2530,98;2238,77;3231,26;595,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;212071,81
"410860 Goioerê";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12549,94;87007,01;107939,14;118761,65;163044,88;191542,59;142542,20;139568,20;159375,71;160221,44;157600,90;165973,01;136330,08;139949,05;125978,24;144802,00;137415,16;150704,39;122293,69;90471,13;98917,22;131055,85;134499,09;126181,52;126826,52;116142,08;115195,74;133372,69;116512,77;135600,91;132113,06;150329,81;136438,07;150333,52;135167,47;149414,82;127698,53;109579,68;113281,24;122684,01;113819,57;149544,60;166389,40;154174,95;141080,08;159246,01;143404,04;138553,47;117070,33;145085,72;131188,92;122631,75;127982,03;127200,55;131886,20;142622,87;126626,04;137744,58;113633,99;109540,57;120804,34;121602,10;99546,09;98842,76;90065,16;117538,26;95225,63;110973,74;119283,25;110914,61;102169,99;96955,46;107734,90;101669,94;94474,87;102387,54;89990,15;118611,09;116785,09;115547,52;110075,12;96471,48;89596,49;83900,82;90730,69;86613,93;79839,14;85346,61;90915,69;98122,56;91937,36;106291,18;105488,51;83068,36;99490,68;71566,87;100446,67;107856,95;96682,90;103540,64;97145,28;117797,56;104216,70;98794,41;102958,35;91226,69;112875,31;97325,22;92359,45;91325,43;75779,12;82478,88;86375,86;79849,09;108712,51;97568,21;96968,38;101630,14;111354,76;128637,54;94208,76;90957,15;94306,79;103272,77;104483,87;133641,21;67834,42;56303,22;18246,93;14662579,83
"410870 Grandes Rios";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7964,71;15359,57;12397,39;11742,40;22023,27;17730,90;21442,61;12123,65;15887,09;20963,84;14992,38;14268,68;29905,79;12530,71;15867,10;15182,72;18709,55;17371,09;20829,55;13964,09;18753,20;13968,49;2136,41;17055,19;12705,14;15056,43;13354,15;10902,25;11066,61;11155,47;16475,75;12570,51;14288,89;12638,00;15380,52;9184,32;8161,21;5255,33;15181,13;10297,82;18221,63;8900,13;16124,87;5325,66;17585,07;10919,75;10582,56;7983,73;8721,11;11696,05;5859,10;6067,15;8651,51;11016,87;10984,19;13251,06;17044,69;16882,64;10182,16;11093,84;9372,44;8901,60;8971,21;9909,56;9449,05;7058,68;12121,26;14156,92;16167,57;5441,76;13861,35;14301,47;8824,47;11486,57;10000,19;8129,80;8643,76;12088,51;9619,71;11808,08;18304,01;10105,04;12496,54;5306,46;7587,33;10040,69;9736,29;8945,58;11441,34;8918,98;15566,43;10824,45;10669,65;7011,70;11627,09;14630,10;10909,13;9739,72;9103,43;9278,24;9902,17;5460,79;19311,55;14252,18;9619,08;8813,07;11478,85;7877,03;11287,53;7315,93;10352,64;9226,83;12122,30;9169,35;12432,02;10760,62;8542,45;7633,82;9274,04;7207,29;10113,60;5658,62;10298,94;7959,01;8968,28;11085,69;7203,79;6341,39;1496162,70
"410880 Guaíra";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;728,11;5702,82;36189,06;57529,68;57535,23;65222,51;74503,98;71192,68;57580,59;74274,66;75013,36;78345,06;50142,10;61207,78;70367,60;62363,57;53968,27;63990,76;71559,83;68411,50;51145,98;63202,93;70106,82;64119,79;49756,64;49543,57;41711,45;48010,99;53312,67;51216,18;50548,41;58347,37;74932,88;58558,57;58824,03;56011,70;48738,63;39054,00;45312,51;57575,88;44981,18;56978,53;60373,72;62580,39;43429,76;62773,18;67648,96;48849,25;60381,54;55374,29;42601,71;50858,46;51014,02;54801,74;48688,80;50220,80;45135,55;51284,22;54036,43;65819,69;59404,57;49458,72;47416,95;48330,05;45305,14;61902,87;51158,15;52931,83;39204,68;50099,44;43048,14;45984,25;43096,94;48335,50;51392,01;58144,61;49642,08;41790,33;45928,97;-;-;-;-;-;-;-;42753,39;40311,37;32457,39;59495,69;58910,93;105954,12;96491,90;94218,29;84766,33;63633,34;87817,84;78580,79;90060,95;76926,90;89318,85;82658,81;85248,79;75094,94;89883,97;98877,54;89757,40;86527,41;79888,27;81075,96;60341,63;63545,17;56270,36;71675,43;64640,69;61199,45;74417,48;69771,22;74669,64;54752,77;67235,11;50671,61;65493,32;84499,06;78192,75;71060,96;60716,74;79183,27;62997,60;7398313,03
"410890 Guairaçá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;582,42;1542,67;2440,84;3626,34;2273,63;1830,13;4209,81;2196,61;2729,02;926,10;2309,51;452,53;2195,32;1246,04;2826,25;4927,69;4093,51;5207,55;3887,94;1781,45;3174,99;5324,36;5842,06;3885,77;2867,54;2615,54;4829,95;2864,45;5578,25;2426,13;5519,63;5072,08;5429,27;3899,01;1570,35;2356,96;2911,48;2912,84;2738,81;4147,13;5325,01;2864,41;4921,80;1691,30;6992,03;4014,70;3437,93;405,02;4066,84;1634,18;2136,39;2526,71;2599,98;655,16;3265,59;1663,71;3226,28;2808,07;1651,89;2635,23;2506,16;2787,67;1791,62;2707,96;3233,49;2215,53;2155,61;2460,73;3502,80;3539,97;3033,37;4363,32;2154,85;1464,05;1487,89;2310,29;1991,05;1147,11;1953,44;5387,08;4500,48;2470,15;2839,90;2161,95;3637,27;292,62;2938,07;744,48;2381,30;3103,25;1299,66;3240,67;3997,65;1630,28;1538,67;3679,01;1677,24;766,45;1192,66;1959,02;2166,54;3747,94;1901,49;3584,08;5576,29;2512,26;2857,84;4467,84;3535,57;2439,25;5057,29;2591,38;2568,68;6494,11;1290,36;3619,01;3335,56;3333,71;2861,39;5242,54;2525,07;1059,76;1413,48;2219,55;1640,27;1132,89;2003,48;627,03;365823,62
"410900 Guapirama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;204,50;-;465,68;88,44;1164,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1251,32;700,48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3875,26
"410930 Guaraniaçu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4530,15;17377,73;20229,73;26524,95;45350,98;56770,24;76723,51;68341,72;49265,43;62595,32;57206,16;59185,28;80422,22;54828,52;64553,06;51612,30;63584,18;50971,49;80008,70;72279,61;60356,82;74160,92;74191,52;73644,72;63497,10;66936,16;57132,52;69361,14;63517,32;57301,01;73336,81;57625,85;65012,36;74546,37;79233,74;61763,50;54934,55;59462,21;45131,85;50479,84;68928,03;45474,56;63534,72;75891,65;91833,13;94695,13;90325,48;78772,23;75162,23;72958,30;74774,60;77826,64;62001,04;55551,02;68000,93;71569,63;78444,43;88592,10;73460,34;75771,37;85335,91;81140,09;78622,11;70458,93;71266,82;48735,76;80749,37;76133,73;79879,78;72667,77;86288,00;83194,93;68799,82;60164,41;60169,09;68155,85;67105,96;64324,51;67666,15;62491,48;73305,64;96303,35;44551,79;60446,70;54955,50;68777,74;59733,33;58488,12;55951,02;57171,42;66038,36;56610,63;69046,19;65080,14;75458,83;75320,77;71162,64;59224,87;65533,33;58246,02;64791,13;50757,79;64031,51;65832,46;55701,57;85283,92;88441,60;71052,40;69595,12;64616,86;57282,93;59699,96;65543,06;52166,84;57323,73;76969,65;61790,24;61965,38;81343,33;72226,40;67928,99;65465,58;66829,50;56048,96;64776,06;68245,03;59264,99;43523,66;31345,08;2510,33;8404666,07
"410940 Guarapuava";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2379,33;118611,20;675249,17;941125,06;1472715,47;1213805,19;1568428,62;1269766,16;1417826,73;1473093,67;1503736,62;1506490,39;1380061,98;1493943,62;1437623,47;1302892,57;1351214,12;1298785,76;1270627,64;1110869,61;1555624,44;1445579,57;1441976,49;1367334,81;1370297,48;1387499,65;1352597,65;1239604,16;1499470,42;1425888,71;1404012,45;1426647,41;1591743,87;1553073,00;1583345,87;1671440,27;1531299,48;1629240,64;1428896,16;1385113,22;1518991,19;1375390,11;1433189,08;1792770,39;1627046,58;1655127,50;1685300,59;1558907,74;1582841,03;1650252,76;1328415,97;1119520,16;1324131,85;1490209,13;1435898,38;1654438,87;1763071,56;1665977,40;1806567,99;1764882,48;1603170,92;1854023,66;1655834,32;1614613,64;1683176,31;1414359,06;1822079,51;1825335,52;1727642,46;1835640,69;1888066,68;1731756,42;1786369,37;1584086,00;1676208,80;1569027,10;1442501,69;1467472,70;1558622,73;1815018,62;1981781,97;1703061,18;1769976,93;1844283,93;1745143,35;1638820,54;1788954,91;1598506,42;1684704,39;1551490,75;1921628,83;1742297,61;1997825,42;1750972,64;1677509,16;1677987,71;1755984,09;1829745,60;1650028,88;1628778,05;1741892,10;1731025,04;1855540,72;1865589,13;1863598,40;1865885,83;2000120,06;1882537,74;1876878,30;2014929,21;1855306,37;1697293,51;1887100,13;1851684,46;1868587,87;2006158,59;2068557,55;2000126,52;1878360,53;1938150,35;1806673,30;1905067,01;1867678,27;1691033,99;1819689,89;1758371,36;1573247,10;1441730,74;1352895,10;325582,11;206118642,73
"410950 Guaraqueçaba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;908,52;4286,41;7653,67;9870,52;9608,62;8395,90;5831,00;6956,74;6689,08;5657,80;-;-;-;-;-;955,12;8420,69;10125,72;6256,95;8243,03;5434,98;7502,04;7287,55;7303,77;7604,85;6598,04;6813,17;3080,28;5875,22;8200,14;5876,22;15593,64;6212,09;11167,80;9668,43;6428,75;5088,47;4884,05;8039,00;9158,94;12863,04;7609,56;5698,15;4494,15;9305,22;9490,90;6469,37;7745,29;3616,22;4849,36;6412,17;6735,24;4462,66;8753,68;6629,00;5289,42;4539,37;5465,32;2204,76;7022,59;4755,46;4470,75;4229,81;5665,23;5408,67;5280,52;2807,68;4792,03;7086,95;3365,73;2930,77;2381,89;2403,19;6707,39;11167,85;11360,59;5873,92;1727,01;5162,53;1436,89;4232,54;4115,30;5258,35;3056,61;2561,69;2564,65;3356,21;4527,64;4427,15;3621,91;2272,46;-;-;-;-;-;-;-;-;-;2420,74;9946,20;7388,85;12158,31;7708,32;5527,68;6732,25;4501,66;-;582,42;4494,97;3441,74;6952,09;1936,91;2041,06;6151,82;2760,39;5334,89;3251,98;3869,87;3190,09;4436,09;1354,51;-;-;1947,85;1809,90;626282,63
"410960 Guaratuba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1565,80;8349,74;26316,58;68862,56;44482,54;33341,69;43607,29;32781,18;52291,46;42133,92;30181,17;26791,05;31305,93;35072,77;42900,60;58319,10;39072,14;31188,36;34706,99;30795,71;20107,71;-;-;-;-;-;-;-;-;672,11;50902,91;51311,20;54319,44;44269,64;39493,33;43842,87;48881,13;37137,39;53093,28;51340,36;37649,00;45746,30;49562,94;58307,85;49148,97;50935,34;32219,40;35166,41;49052,98;40354,88;43169,72;58108,42;36997,12;46243,63;42960,29;41001,15;31751,23;49743,78;45272,10;51789,34;42788,22;39051,10;40395,42;46136,63;44607,59;47439,76;38571,59;39470,44;38135,90;40408,35;40992,63;45413,12;36309,35;48207,08;40307,25;38292,74;38459,82;30571,14;42800,55;40907,74;40649,51;48447,71;50160,53;32709,46;39294,15;37656,08;31179,49;47084,57;41785,10;62111,18;37317,39;49267,40;43636,17;46198,96;41856,88;41139,96;40437,70;45428,14;39282,24;46981,09;36607,24;39896,61;48360,23;51399,97;55088,81;46542,99;38291,42;39139,04;40073,44;50543,13;49202,32;44121,59;37651,62;42936,69;49808,00;36319,96;44766,69;40910,40;39009,39;36838,87;31509,17;37019,01;35107,13;37387,24;33485,62;24929,81;29152,84;28610,13;18563,30;4929781,59
"410965 Honório Serpa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;479,19;2388,87;1306,87;8649,00;9054,28;11806,76;17046,95;4199,47;11923,28;13882,10;11503,17;9049,07;9769,00;14021,03;12034,24;10700,91;11622,86;8301,49;11740,42;11571,15;13199,72;5806,75;11023,57;10960,72;8959,85;13275,94;7327,31;6727,46;7991,20;7548,37;7557,79;6854,03;6471,32;7541,03;4666,01;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;316961,18
"410970 Ibaiti";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5111,21;12280,66;15359,56;69143,37;53461,16;66973,77;50121,17;84988,19;82668,73;59402,48;76078,76;75885,22;74246,08;76112,97;65783,68;72288,81;65787,19;77917,30;65988,83;70694,26;69061,81;82671,21;87654,27;75356,97;80778,11;74543,96;77434,12;63575,80;76902,82;84572,79;83166,70;89074,41;71861,74;73158,98;83158,56;60779,00;72382,98;63088,68;60716,40;58013,37;45962,86;65208,58;84329,57;71230,84;63286,16;71812,22;72624,92;65008,23;49913,18;36717,37;43525,79;45174,11;30190,57;32077,51;36083,11;42620,21;35903,07;41966,68;51120,53;45470,91;47248,58;42583,98;45206,99;43556,39;30646,24;50431,92;52223,90;48587,29;53502,10;40680,95;56071,85;46006,94;53887,69;40374,80;43480,81;45206,70;55319,94;51570,48;64466,60;45317,13;53705,58;51444,44;49627,55;57268,16;53848,16;41228,94;33959,03;45974,70;40889,20;59460,24;56197,88;67948,99;68544,92;57780,23;56478,67;53665,84;54285,20;59913,13;49932,22;55125,96;42718,04;47599,57;54481,96;63331,14;56617,88;49589,35;43396,09;45065,20;35248,18;33005,22;28282,84;28489,55;19465,55;32746,61;35113,27;29883,88;45772,97;39149,13;36315,50;28571,35;33824,88;29106,96;26508,47;19711,38;16385,93;17702,31;6853,11;19827,90;13451,96;6740339,00
"410975 Ibema";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2146,02;10802,77;13252,86;9086,29;21183,67;15586,60;20886,33;12867,92;8963,55;12618,10;16071,29;14715,32;15773,71;11392,40;23567,57;9210,42;13507,57;11667,43;19972,90;17021,31;7689,86;11691,90;9515,31;8207,78;9324,03;6304,22;10008,59;16170,42;15798,57;8753,84;15537,76;12520,84;17327,26;13751,00;13146,75;9300,76;7163,09;8147,80;12891,88;9727,60;11715,46;10285,68;8799,48;13999,02;16473,33;12529,39;8140,20;13920,44;5028,94;8931,07;13163,34;9017,32;14314,20;13517,26;9905,59;13024,42;14023,74;15526,87;13879,96;11172,11;13409,45;7906,86;7850,10;7211,50;13790,52;9706,25;11578,36;10702,50;9248,67;6874,38;10053,74;8202,36;4821,09;8074,26;10596,05;6818,29;16019,41;11135,06;17321,69;22813,37;6092,55;5966,41;10618,89;7737,91;5385,57;7571,05;9326,75;5366,19;7238,82;9351,53;10289,96;15280,80;12128,74;9675,24;8709,53;6640,36;5659,96;8672,19;10391,23;7044,14;10523,53;5063,25;7243,39;9523,64;9764,25;7331,76;8574,76;9893,70;6154,27;5991,48;9023,00;7594,26;8735,27;5873,31;8801,95;5951,54;9661,49;9652,93;10258,36;10639,93;7208,38;10250,04;6788,99;9020,82;7009,42;9430,62;7701,70;2274,68;1349863,56
